type,value,year
Bronx,25.3,2009
Bronx,33.16,2010
Bronx,32.91,2011
Bronx,34.61,2012
Bronx,31.25,2013
Bronx,31.15,2014
Bronx,30.39,2015
Bronx,33.09,2016
Bronx,28.85,2017
Bronx,30.78,2018
Brooklyn,26.27,2009
Brooklyn,33.83,2010
Brooklyn,33.19,2011
Brooklyn,33.89,2012
Brooklyn,31.13,2013
Brooklyn,31.29,2014
Brooklyn,32.48,2015
Brooklyn,33.98,2016
Brooklyn,30.26,2017
Brooklyn,30.87,2018
Manhattan,20.44,2009
Manhattan,28.21,2010
Manhattan,27.27,2011
Manhattan,29.21,2012
Manhattan,26.33,2013
Manhattan,27,2014
Manhattan,27.77,2015
Manhattan,30.3,2016
Manhattan,25.33,2017
Manhattan,26.98,2018
Queens,26.85,2009
Queens,34.07,2010
Queens,33.72,2011
Queens,34.5,2012
Queens,31.6,2013
Queens,32.43,2014
Queens,32.36,2015
Queens,33.98,2016
Queens,30.83,2017
Queens,31.46,2018
statenIsland,26.72,2009
statenIsland,35.17,2010
statenIsland,34.16,2011
statenIsland,33.77,2012
statenIsland,31.3,2013
statenIsland,31.41,2014
statenIsland,32.59,2015
statenIsland,35.11,2016
statenIsland,28.46,2017
statenIsland,29.81,2018
